rel_path	frames	fps	first_freeze_s	frozen_frac	noisy_frac	lap_med	lap_max	flag
kanu/CoffeeSetupMug/s1/j2/n1/base	360	20.0		0.0	0.0	1057.0	1257.0	OK
kanu/CoffeeSetupMug/s1/j2/n2/base	360	20.0		0.0	0.0	1104.0	1261.0	OK
kanu/CoffeeSetupMug/s1/j2/n3/base	360	20.0		0.0	0.0	1106.0	1258.0	OK
kanu/CoffeeSetupMug/s1/j2/n4/base	360	20.0		0.0	0.0	1100.0	1258.0	OK
kanu/CoffeeSetupMug/s1/j2/n5/base	360	20.0		0.0	0.0	1090.0	1261.0	OK
kanu/CoffeeSetupMug/s1/j2/n6/base	360	20.0		0.0	0.0	1097.0	1256.0	OK
kanu/CoffeeSetupMug/s1/j2/n7/base	360	20.0		0.0	0.0	1098.0	1255.0	OK
kanu/CoffeeSetupMug/s1/j2/n8/base	360	20.0		0.0	0.0	1095.0	1262.0	OK
kanu/CoffeeSetupMug/s1/j2/n9/base	360	20.0		0.0	0.0	1131.0	1319.0	OK
kanu/CoffeeSetupMug/s1/j3/n0/base	360	20.0		0.0	0.0	1062.0	1317.0	OK
kanu/CoffeeSetupMug/s1/j3/n1/base	360	20.0		0.0	0.0	1052.0	1317.0	OK
kanu/CoffeeSetupMug/s1/j3/n2/base	360	20.0		0.0	0.0	1110.0	1310.0	OK
kanu/CoffeeSetupMug/s1/j3/n3/base	360	20.0		0.0	0.0	1067.0	1316.0	OK
kanu/CoffeeSetupMug/s1/j3/n4/base	360	20.0		0.0	0.0	1084.0	1317.0	OK
kanu/CoffeeSetupMug/s1/j3/n5/base	360	20.0		0.0	0.0	1056.0	1332.0	OK
kanu/CoffeeSetupMug/s1/j3/n6/base	360	20.0		0.0	0.0	1029.0	1342.0	OK
kanu/CoffeeSetupMug/s1/j3/n7/base	360	20.0		0.0	0.0	1142.0	1406.0	OK
kanu/CoffeeSetupMug/s1/j3/n8/base	360	20.0		0.0	0.0	1068.0	1327.0	OK
kanu/CoffeeSetupMug/s1/j3/n9/base	360	20.0		0.0	0.0	1004.0	1311.0	OK
kanu/CoffeeSetupMug/s1/j4/n0/base	360	20.0		0.0	0.0	1061.0	1513.0	OK
kanu/CoffeeSetupMug/s1/j4/n1/base	360	20.0		0.0	0.0	1103.0	1285.0	OK
kanu/CoffeeSetupMug/s1/j4/n2/base	360	20.0		0.0	0.0	1134.0	1281.0	OK
kanu/CoffeeSetupMug/s1/j4/n3/base	360	20.0		0.003	0.0	1025.0	1290.0	OK
kanu/CoffeeSetupMug/s1/j4/n4/base	360	20.0		0.0	0.0	1039.0	1287.0	OK
kanu/CoffeeSetupMug/s1/j4/n5/base	360	20.0		0.0	0.0	1101.0	1277.0	OK
kanu/CoffeeSetupMug/s1/j4/n6/base	360	20.0		0.0	0.0	1125.0	1283.0	OK
kanu/CoffeeSetupMug/s1/j4/n7/base	360	20.0		0.0	0.0	1112.0	1277.0	OK
kanu/CoffeeSetupMug/s1/j4/n8/base	360	20.0		0.0	0.0	1100.0	1280.0	OK
kanu/CoffeeSetupMug/s1/j4/n9/base	360	20.0		0.0	0.0	1100.0	1285.0	OK
kanu/CoffeeSetupMug/s2/j0/n0/base	360	20.0		0.0	0.0	801.0	978.0	OK
kanu/CoffeeSetupMug/s2/j0/n1/base	360	20.0		0.0	0.0	809.0	974.0	OK
kanu/CoffeeSetupMug/s2/j0/n2/base	360	20.0		0.0	0.0	816.0	947.0	OK
kanu/CoffeeSetupMug/s2/j0/n3/base	360	20.0		0.0	0.0	803.0	957.0	OK
kanu/CoffeeSetupMug/s2/j0/n4/base	360	20.0		0.0	0.0	817.0	942.0	OK
kanu/CoffeeSetupMug/s2/j0/n5/base	360	20.0		0.0	0.0	814.0	971.0	OK
kanu/CoffeeSetupMug/s2/j0/n6/base	360	20.0		0.0	0.0	828.0	942.0	OK
kanu/CoffeeSetupMug/s2/j0/n7/base	360	20.0		0.0	0.0	823.0	979.0	OK
kanu/CoffeeSetupMug/s2/j0/n8/base	360	20.0		0.0	0.0	828.0	961.0	OK
kanu/CoffeeSetupMug/s2/j0/n9/base	360	20.0		0.0	0.0	809.0	986.0	OK
kanu/CoffeeSetupMug/s2/j1/n0/base	360	20.0		0.0	0.0	807.0	944.0	OK
kanu/CoffeeSetupMug/s2/j1/n1/base	360	20.0		0.0	0.0	779.0	938.0	OK
kanu/CoffeeSetupMug/s2/j1/n2/base	360	20.0		0.0	0.0	784.0	928.0	OK
kanu/CoffeeSetupMug/s2/j1/n3/base	360	20.0		0.0	0.0	820.0	936.0	OK
kanu/CoffeeSetupMug/s2/j1/n4/base	360	20.0		0.0	0.0	823.0	949.0	OK
kanu/CoffeeSetupMug/s2/j1/n5/base	360	20.0		0.0	0.0	824.0	951.0	OK
kanu/CoffeeSetupMug/s2/j1/n6/base	360	20.0		0.0	0.0	828.0	955.0	OK
kanu/CoffeeSetupMug/s2/j1/n7/base	360	20.0		0.0	0.0	829.0	966.0	OK
kanu/CoffeeSetupMug/s2/j1/n8/base	360	20.0		0.0	0.0	822.0	960.0	OK
kanu/CoffeeSetupMug/s2/j1/n9/base	360	20.0		0.0	0.0	827.0	979.0	OK
kanu/CoffeeSetupMug/s2/j2/n0/base	360	20.0		0.0	0.0	773.0	978.0	OK
kanu/CoffeeSetupMug/s2/j2/n1/base	360	20.0		0.0	0.0	762.0	968.0	OK
kanu/CoffeeSetupMug/s2/j2/n2/base	360	20.0		0.0	0.0	724.0	940.0	OK
kanu/CoffeeSetupMug/s2/j2/n3/base	360	20.0		0.0	0.0	714.0	930.0	OK
kanu/CoffeeSetupMug/s2/j2/n4/base	360	20.0		0.0	0.0	723.0	924.0	OK
kanu/CoffeeSetupMug/s2/j2/n5/base	360	20.0		0.0	0.0	816.0	938.0	OK
kanu/CoffeeSetupMug/s2/j2/n6/base	360	20.0		0.0	0.0	794.0	939.0	OK
kanu/CoffeeSetupMug/s2/j2/n7/base	360	20.0		0.0	0.0	758.0	970.0	OK
kanu/CoffeeSetupMug/s2/j2/n8/base	360	20.0		0.0	0.0	794.0	983.0	OK
kanu/CoffeeSetupMug/s2/j2/n9/base	360	20.0		0.0	0.0	761.0	991.0	OK
kanu/CoffeeSetupMug/s2/j3/n0/base	360	20.0		0.0	0.0	777.0	997.0	OK
kanu/CoffeeSetupMug/s2/j3/n1/base	360	20.0		0.0	0.0	848.0	982.0	OK
kanu/CoffeeSetupMug/s2/j3/n2/base	360	20.0		0.0	0.0	855.0	991.0	OK
kanu/CoffeeSetupMug/s2/j3/n3/base	360	20.0		0.0	0.0	851.0	983.0	OK
kanu/CoffeeSetupMug/s2/j3/n4/base	360	20.0		0.0	0.0	858.0	972.0	OK
kanu/CoffeeSetupMug/s2/j3/n5/base	360	20.0		0.0	0.0	825.0	997.0	OK
kanu/CoffeeSetupMug/s2/j3/n6/base	360	20.0		0.0	0.0	851.0	967.0	OK
kanu/CoffeeSetupMug/s2/j3/n7/base	360	20.0		0.0	0.0	850.0	954.0	OK
kanu/CoffeeSetupMug/s2/j3/n8/base	360	20.0		0.0	0.0	787.0	970.0	OK
kanu/CoffeeSetupMug/s2/j3/n9/base	360	20.0		0.0	0.0	754.0	994.0	OK
kanu/CoffeeSetupMug/s2/j4/n0/base	360	20.0		0.0	0.0	768.0	997.0	OK
kanu/CoffeeSetupMug/s2/j4/n1/base	360	20.0		0.0	0.0	780.0	985.0	OK
kanu/CoffeeSetupMug/s2/j4/n2/base	360	20.0		0.0	0.0	867.0	1033.0	OK
kanu/CoffeeSetupMug/s2/j4/n3/base	360	20.0		0.0	0.0	802.0	962.0	OK
kanu/CoffeeSetupMug/s2/j4/n4/base	360	20.0		0.0	0.0	785.0	961.0	OK
kanu/CoffeeSetupMug/s2/j4/n5/base	360	20.0		0.0	0.0	759.0	999.0	OK
kanu/CoffeeSetupMug/s2/j4/n6/base	360	20.0		0.0	0.0	749.0	969.0	OK
kanu/CoffeeSetupMug/s2/j4/n7/base	360	20.0		0.0	0.0	796.0	972.0	OK
kanu/CoffeeSetupMug/s2/j4/n8/base	360	20.0		0.0	0.0	851.0	983.0	OK
kanu/CoffeeSetupMug/s2/j4/n9/base	360	20.0		0.0	0.0	743.0	960.0	OK
kanu/OpenDrawer/left/s0/j0/n0/base	360	20.0		0.0	0.0	553.0	888.0	OK
kanu/OpenDrawer/left/s0/j0/n1/base	360	20.0		0.0	0.0	716.0	931.0	OK
kanu/OpenDrawer/left/s0/j0/n2/base	93	20.0		0.0	0.0	538.0	889.0	OK
kanu/OpenDrawer/left/s0/j0/n3/base	360	20.0		0.0	0.0	562.0	904.0	OK
kanu/OpenDrawer/left/s0/j0/n4/base	360	20.0		0.0	0.0	546.0	886.0	OK
kanu/OpenDrawer/left/s0/j0/n5/base	85	20.0		0.0	0.0	539.0	883.0	OK
kanu/OpenDrawer/left/s0/j0/n6/base	85	20.0		0.0	0.0	532.0	905.0	OK
kanu/OpenDrawer/left/s0/j0/n7/base	80	20.0		0.0	0.0	538.0	890.0	OK
kanu/OpenDrawer/left/s0/j0/n8/base	80	20.0		0.0	0.0	534.0	893.0	OK
kanu/OpenDrawer/left/s0/j0/n9/base	83	20.0		0.0	0.0	539.0	890.0	OK
kanu/OpenDrawer/left/s0/j1/n0/base	360	20.0		0.0	0.0	548.0	832.0	OK
kanu/OpenDrawer/left/s0/j1/n1/base	98	20.0		0.0	0.0	528.0	834.0	OK
kanu/OpenDrawer/left/s0/j1/n2/base	95	20.0		0.0	0.0	523.0	842.0	OK
kanu/OpenDrawer/left/s0/j1/n3/base	93	20.0		0.0	0.0	525.0	829.0	OK
kanu/OpenDrawer/left/s0/j1/n4/base	90	20.0		0.0	0.0	529.0	852.0	OK
kanu/OpenDrawer/left/s0/j1/n5/base	88	20.0		0.0	0.0	526.0	873.0	OK
kanu/OpenDrawer/left/s0/j1/n6/base	85	20.0		0.0	0.0	527.0	840.0	OK
kanu/OpenDrawer/left/s0/j1/n7/base	83	20.0		0.0	0.0	526.0	841.0	OK
kanu/OpenDrawer/left/s0/j1/n8/base	80	20.0		0.0	0.0	525.0	839.0	OK
kanu/OpenDrawer/left/s0/j1/n9/base	83	20.0		0.0	0.0	530.0	845.0	OK
kanu/OpenDrawer/left/s0/j2/n0/base	100	20.0		0.0	0.0	553.0	832.0	OK
kanu/OpenDrawer/left/s0/j2/n1/base	105	20.0		0.0	0.0	559.0	847.0	OK
kanu/OpenDrawer/left/s0/j2/n2/base	103	20.0		0.0	0.0	550.0	828.0	OK
kanu/OpenDrawer/left/s0/j2/n3/base	93	20.0		0.0	0.0	556.0	855.0	OK
kanu/OpenDrawer/left/s0/j2/n4/base	360	20.0		0.0	0.0	573.0	848.0	OK
kanu/OpenDrawer/left/s0/j2/n5/base	360	20.0		0.0	0.0	566.0	847.0	OK
kanu/OpenDrawer/left/s0/j2/n6/base	360	20.0		0.0	0.0	558.0	841.0	OK
kanu/OpenDrawer/left/s0/j2/n7/base	360	20.0		0.0	0.0	565.0	852.0	OK
kanu/OpenDrawer/left/s0/j2/n8/base	150	20.0		0.0	0.0	550.0	821.0	OK
kanu/OpenDrawer/left/s0/j2/n9/base	90	20.0		0.0	0.0	560.0	838.0	OK
kanu/OpenDrawer/left/s0/j3/n0/base	360	20.0		0.0	0.0	559.0	819.0	OK
kanu/OpenDrawer/left/s0/j3/n1/base	360	20.0		0.0	0.0	583.0	802.0	OK
kanu/OpenDrawer/left/s0/j3/n2/base	93	20.0		0.0	0.0	535.0	814.0	OK
kanu/OpenDrawer/left/s0/j3/n3/base	360	20.0		0.0	0.0	556.0	822.0	OK
kanu/OpenDrawer/left/s0/j3/n4/base	360	20.0		0.0	0.0	550.0	826.0	OK
kanu/OpenDrawer/left/s0/j3/n5/base	85	20.0		0.0	0.0	545.0	826.0	OK
kanu/OpenDrawer/left/s0/j3/n6/base	80	20.0		0.0	0.0	541.0	818.0	OK
kanu/OpenDrawer/left/s0/j3/n7/base	80	20.0		0.0	0.0	546.0	812.0	OK
kanu/OpenDrawer/left/s0/j3/n8/base	78	20.0		0.0	0.0	542.0	814.0	OK
kanu/OpenDrawer/left/s0/j3/n9/base	360	20.0		0.0	0.0	564.0	832.0	OK
kanu/OpenDrawer/left/s0/j4/n0/base	98	20.0		0.0	0.0	533.0	819.0	OK
kanu/OpenDrawer/left/s0/j4/n1/base	95	20.0		0.0	0.0	534.0	825.0	OK
kanu/OpenDrawer/left/s0/j4/n2/base	100	20.0		0.0	0.0	537.0	818.0	OK
kanu/OpenDrawer/left/s0/j4/n3/base	95	20.0		0.0	0.0	544.0	831.0	OK
kanu/OpenDrawer/left/s0/j4/n4/base	95	20.0		0.0	0.0	539.0	824.0	OK
kanu/OpenDrawer/left/s0/j4/n5/base	90	20.0		0.0	0.0	534.0	823.0	OK
kanu/OpenDrawer/left/s0/j4/n6/base	90	20.0		0.0	0.0	534.0	824.0	OK
kanu/OpenDrawer/left/s0/j4/n7/base	88	20.0		0.0	0.0	538.0	825.0	OK
kanu/OpenDrawer/left/s0/j4/n8/base	90	20.0		0.0	0.0	539.0	813.0	OK
kanu/OpenDrawer/left/s0/j4/n9/base	88	20.0		0.0	0.0	539.0	821.0	OK
kanu/OpenDrawer/left/s1/j0/n0/base	113	20.0		0.0	0.0	1096.0	1866.0	OK
kanu/OpenDrawer/left/s1/j0/n1/base	113	20.0		0.0	0.0	1099.0	1842.0	OK
kanu/OpenDrawer/left/s1/j0/n2/base	113	20.0		0.0	0.0	1105.0	1838.0	OK
kanu/OpenDrawer/left/s1/j0/n3/base	123	20.0		0.0	0.0	1112.0	1831.0	OK
kanu/OpenDrawer/left/s1/j0/n4/base	118	20.0		0.0	0.0	1098.0	1810.0	OK
kanu/OpenDrawer/left/s1/j0/n5/base	115	20.0		0.0	0.0	1106.0	1807.0	OK
kanu/OpenDrawer/left/s1/j0/n6/base	113	20.0		0.0	0.0	1102.0	1813.0	OK
kanu/OpenDrawer/left/s1/j0/n7/base	113	20.0		0.0	0.0	1093.0	1807.0	OK
kanu/OpenDrawer/left/s1/j0/n8/base	110	20.0		0.0	0.0	1104.0	1810.0	OK
kanu/OpenDrawer/left/s1/j0/n9/base	110	20.0		0.0	0.0	1110.0	1803.0	OK
kanu/OpenDrawer/left/s1/j1/n0/base	360	20.0		0.0	0.0	1130.0	1995.0	OK
kanu/OpenDrawer/left/s1/j1/n1/base	360	20.0		0.0	0.0	1099.0	1963.0	OK
kanu/OpenDrawer/left/s1/j1/n2/base	360	20.0		0.0	0.0	1114.0	1978.0	OK
kanu/OpenDrawer/left/s1/j1/n3/base	360	20.0		0.0	0.0	1122.0	1940.0	OK
kanu/OpenDrawer/left/s1/j1/n4/base	360	20.0		0.0	0.0	1146.0	1962.0	OK
kanu/OpenDrawer/left/s1/j1/n5/base	360	20.0		0.0	0.0	1102.0	1966.0	OK
kanu/OpenDrawer/left/s1/j1/n6/base	360	20.0		0.0	0.0	1112.0	1978.0	OK
kanu/OpenDrawer/left/s1/j1/n7/base	360	20.0		0.0	0.0	1118.0	1955.0	OK
kanu/OpenDrawer/left/s1/j1/n8/base	360	20.0		0.0	0.0	1119.0	1931.0	OK
kanu/OpenDrawer/left/s1/j1/n9/base	360	20.0		0.0	0.0	1145.0	2109.0	OK
kanu/OpenDrawer/left/s1/j2/n0/base	360	20.0		0.0	0.0	1174.0	2095.0	OK
kanu/OpenDrawer/left/s1/j2/n1/base	360	20.0		0.0	0.0	1172.0	2090.0	OK
kanu/OpenDrawer/left/s1/j2/n2/base	360	20.0		0.0	0.0	1167.0	2082.0	OK
kanu/OpenDrawer/left/s1/j2/n3/base	360	20.0		0.0	0.0	1195.0	2093.0	OK
kanu/OpenDrawer/left/s1/j2/n4/base	360	20.0		0.0	0.0	1144.0	2151.0	OK
kanu/OpenDrawer/left/s1/j2/n5/base	360	20.0		0.0	0.0	1273.0	2082.0	OK
kanu/OpenDrawer/left/s1/j2/n6/base	360	20.0		0.0	0.0	1425.0	3324.0	OK
kanu/OpenDrawer/left/s1/j2/n7/base	360	20.0		0.0	0.0	1235.0	2090.0	OK
kanu/OpenDrawer/left/s1/j2/n8/base	360	20.0		0.0	0.0	1218.0	2084.0	OK
kanu/OpenDrawer/left/s1/j2/n9/base	360	20.0		0.0	0.0	1156.0	2080.0	OK
kanu/OpenDrawer/left/s1/j3/n0/base	360	20.0		0.0	0.0	1124.0	1983.0	OK
kanu/OpenDrawer/left/s1/j3/n1/base	360	20.0		0.0	0.0	1094.0	1982.0	OK
kanu/OpenDrawer/left/s1/j3/n2/base	360	20.0		0.0	0.0	1092.0	1964.0	OK
kanu/OpenDrawer/left/s1/j3/n3/base	360	20.0		0.0	0.0	1097.0	1955.0	OK
kanu/OpenDrawer/left/s1/j3/n4/base	360	20.0		0.0	0.0	1108.0	1985.0	OK
kanu/OpenDrawer/left/s1/j3/n5/base	123	20.0		0.0	0.0	1108.0	1954.0	OK
kanu/OpenDrawer/left/s1/j3/n6/base	118	20.0		0.0	0.0	1109.0	1945.0	OK
kanu/OpenDrawer/left/s1/j3/n7/base	118	20.0		0.0	0.0	1120.0	1969.0	OK
kanu/OpenDrawer/left/s1/j3/n8/base	113	20.0		0.0	0.0	1115.0	1951.0	OK
kanu/OpenDrawer/left/s1/j3/n9/base	360	20.0		0.0	0.0	1109.0	1969.0	OK
kanu/OpenDrawer/left/s1/j4/n0/base	360	20.0		0.0	0.0	1183.0	2034.0	OK
kanu/OpenDrawer/left/s1/j4/n1/base	360	20.0		0.0	0.0	1170.0	2034.0	OK
kanu/OpenDrawer/left/s1/j4/n2/base	360	20.0		0.0	0.0	1169.0	2037.0	OK
kanu/OpenDrawer/left/s1/j4/n3/base	360	20.0		0.0	0.0	1136.0	2005.0	OK
kanu/OpenDrawer/left/s1/j4/n4/base	360	20.0		0.0	0.0	1228.0	1994.0	OK
kanu/OpenDrawer/left/s1/j4/n5/base	360	20.0		0.0	0.0	1227.0	1986.0	OK
kanu/OpenDrawer/left/s1/j4/n6/base	360	20.0		0.0	0.0	1148.0	2490.0	OK
kanu/OpenDrawer/left/s1/j4/n7/base	360	20.0		0.0	0.0	1487.0	2142.0	OK
kanu/OpenDrawer/left/s1/j4/n8/base	360	20.0		0.0	0.0	1175.0	2010.0	OK
kanu/OpenDrawer/left/s1/j4/n9/base	360	20.0		0.0	0.0	1322.0	2032.0	OK
kanu/OpenDrawer/left/s2/j0/n0/base	103	20.0		0.0	0.0	566.0	922.0	OK
kanu/OpenDrawer/left/s2/j0/n1/base	93	20.0		0.0	0.0	566.0	944.0	OK
kanu/OpenDrawer/left/s2/j0/n2/base	88	20.0		0.0	0.0	564.0	932.0	OK
kanu/OpenDrawer/left/s2/j0/n3/base	90	20.0		0.0	0.0	570.0	937.0	OK
kanu/OpenDrawer/left/s2/j0/n4/base	85	20.0		0.0	0.0	565.0	920.0	OK
kanu/OpenDrawer/left/s2/j0/n5/base	83	20.0		0.0	0.0	563.0	946.0	OK
kanu/OpenDrawer/left/s2/j0/n6/base	80	20.0		0.0	0.0	569.0	952.0	OK
kanu/OpenDrawer/left/s2/j0/n7/base	78	20.0		0.0	0.0	571.0	939.0	OK
kanu/OpenDrawer/left/s2/j0/n8/base	75	20.0		0.0	0.0	572.0	950.0	OK
kanu/OpenDrawer/left/s2/j0/n9/base	80	20.0		0.0	0.0	574.0	927.0	OK
kanu/OpenDrawer/left/s2/j1/n0/base	360	20.0		0.0	0.0	625.0	932.0	OK
kanu/OpenDrawer/left/s2/j1/n1/base	100	20.0		0.0	0.0	586.0	953.0	OK
kanu/OpenDrawer/left/s2/j1/n2/base	360	20.0		0.0	0.0	646.0	944.0	OK
kanu/OpenDrawer/left/s2/j1/n3/base	360	20.0		0.0	0.0	621.0	936.0	OK
kanu/OpenDrawer/left/s2/j1/n4/base	95	20.0		0.0	0.0	587.0	912.0	OK
kanu/OpenDrawer/left/s2/j1/n5/base	95	20.0		0.0	0.0	586.0	941.0	OK
kanu/OpenDrawer/left/s2/j1/n6/base	360	20.0		0.0	0.0	637.0	948.0	OK
kanu/OpenDrawer/left/s2/j1/n7/base	360	20.0		0.0	0.0	633.0	959.0	OK
kanu/OpenDrawer/left/s2/j1/n8/base	360	20.0		0.0	0.0	649.0	963.0	OK
kanu/OpenDrawer/left/s2/j1/n9/base	360	20.0		0.0	0.0	598.0	952.0	OK
