grid_instruction	slug	machine	scene_idx	jitter_idx	noise_idx	jitter_reset_idx	base_lat	base_back	env_seed	inference_seed	sig	rel_path	pool_succ	pool_fail	tgt_fail	tgt_succ	flag_succ_lt9
OpenDrawer/right	OpenDrawer_right	kanu	1	2	8	9	0.0	0.1	100149	1300008	463f74d0e4ee46d6	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n8/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	9	9	0.0	0.1	100149	1300009	c24e222da9972815	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n9/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	0	10	0.0	0.05	100149	1300000	6596f2725c7f358a	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n0/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	1	10	0.0	0.05	100149	1300001	63d7a7488e931db4	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n1/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	2	10	0.0	0.05	100149	1300002	a74249bf7e65f7d1	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n2/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	3	10	0.0	0.05	100149	1300003	a1a526e356fa013f	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n3/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	4	10	0.0	0.05	100149	1300004	90f0b3b8875975d0	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n4/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	5	10	0.0	0.05	100149	1300005	24600d3cd137358e	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n5/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	6	10	0.0	0.05	100149	1300006	26f5e8d9dd543429	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n6/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	7	10	0.0	0.05	100149	1300007	b81dfe2df2ba57bf	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n7/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	8	10	0.0	0.05	100149	1300008	3287e8ec8903b014	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n8/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	3	9	10	0.0	0.05	100149	1300009	646813cc8ff245f9	77e745c37b0f/kanu/OpenDrawer/right/s1/j3/n9/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	4	0	11	0.0	0.1	100149	1300000	a7cf1b1e1ac021c7	77e745c37b0f/kanu/OpenDrawer/right/s1/j4/n0/base	7	33	8	2	1
OpenDrawer/right	OpenDrawer_right	kanu	1	4	1	11	0.0	0.1	100149	1300001	c2c462132830f14e	77e745c37b0f/kanu/OpenDrawer/right/s1/j4/n1/base	7	33	8	2	1
OpenDrawer/right	OpenDrawer_right	kanu	1	4	3	11	0.0	0.1	100149	1300003	048601b9b84c69a0	77e745c37b0f/kanu/OpenDrawer/right/s1/j4/n3/base	7	33	8	2	1
OpenDrawer/right	OpenDrawer_right	kanu	1	4	5	11	0.0	0.1	100149	1300005	9a3084f17bd9750f	77e745c37b0f/kanu/OpenDrawer/right/s1/j4/n5/base	7	33	8	2	1
OpenDrawer/right	OpenDrawer_right	kanu	1	4	6	11	0.0	0.1	100149	1300006	6967dbd13ce0df7f	77e745c37b0f/kanu/OpenDrawer/right/s1/j4/n6/base	7	33	8	2	1
OpenDrawer/right	OpenDrawer_right	kanu	1	4	7	11	0.0	0.1	100149	1300007	a42f1062977ca322	77e745c37b0f/kanu/OpenDrawer/right/s1/j4/n7/base	7	33	8	2	1
OpenDrawer/right	OpenDrawer_right	kanu	1	4	8	11	0.0	0.1	100149	1300008	1599949253b74e2a	77e745c37b0f/kanu/OpenDrawer/right/s1/j4/n8/base	7	33	8	2	1
OpenDrawer/right	OpenDrawer_right	kanu	1	4	9	11	0.0	0.1	100149	1300009	8ece501ea54fdb1b	77e745c37b0f/kanu/OpenDrawer/right/s1/j4/n9/base	7	33	8	2	1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	2	0	0	0.0	0.1	100448	1300000	4897a726dbe484ad	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j2/n0/base	28	12	5	5	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	2	6	0	0.0	0.1	100448	1300006	94d3c9b762af9d4a	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j2/n6/base	28	12	5	5	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	2	7	0	0.0	0.1	100448	1300007	1398afbf8be802fe	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j2/n7/base	28	12	5	5	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	2	8	0	0.0	0.1	100448	1300008	3d1e53a51a64c66a	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j2/n8/base	28	12	5	5	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	2	9	0	0.0	0.1	100448	1300009	14e3349d538501e7	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j2/n9/base	28	12	5	5	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	3	1	0	0.05	0.1	100448	1300001	054a4e621d5757cb	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j3/n1/base	26	14	3	7	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	3	5	0	0.05	0.1	100448	1300005	547b721f349c3e3c	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j3/n5/base	26	14	3	7	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	3	9	0	0.05	0.1	100448	1300009	730864642404ca3a	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j3/n9/base	26	14	3	7	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	0	0	0.05	0.15	100448	1300000	0e3fc48471289cf6	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n0/base	32	8	9	1	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	1	0	0.05	0.15	100448	1300001	7897492e8fa4c9e0	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n1/base	32	8	9	1	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	3	0	0.05	0.15	100448	1300003	cd67b98f47355d49	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n3/base	32	8	9	1	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	4	0	0.05	0.15	100448	1300004	edf42d72c2dcfda3	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n4/base	32	8	9	1	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	5	0	0.05	0.15	100448	1300005	43d00b8d1b81c879	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n5/base	32	8	9	1	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	6	0	0.05	0.15	100448	1300006	a1a37d9b78d88fce	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n6/base	32	8	9	1	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	7	0	0.05	0.15	100448	1300007	4e5b5aaf927b9057	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n7/base	32	8	9	1	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	8	0	0.05	0.15	100448	1300008	156d5c9fca70a50c	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n8/base	32	8	9	1	0
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	9	0	0.05	0.15	100448	1300009	525846f3a8e63f47	77e745c37b0f/worker1/DishwasherRack/out-right/s1/j4/n9/base	32	8	9	1	0
OvenRack/out-left	OvenRack_out-left	worker1	0	3	8	0	0.05	0.1	100017	1300008	8ffee478c7153545	77e745c37b0f/worker1/OvenRack/out-left/s0/j3/n8/base	35	5	1	9	0
OvenRack/out-left	OvenRack_out-left	worker1	0	4	3	0	0.05	0.15	100017	1300003	a8825220fac1e45b	77e745c37b0f/worker1/OvenRack/out-left/s0/j4/n3/base	35	5	1	9	0
OvenRack/out-left	OvenRack_out-left	worker1	1	0	0	0	0.0	0.0	100754	1300000	2343f12e55ba5836	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n0/base	22	18	7	3	0
OvenRack/out-left	OvenRack_out-left	worker1	1	0	1	0	0.0	0.0	100754	1300001	7d3b5da8a66d0028	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n1/base	22	18	7	3	0
OvenRack/out-left	OvenRack_out-left	worker1	1	0	2	0	0.0	0.0	100754	1300002	3256a25f02712817	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n2/base	22	18	7	3	0
OvenRack/out-left	OvenRack_out-left	worker1	1	0	3	0	0.0	0.0	100754	1300003	2ea55d298aad66c3	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n3/base	22	18	7	3	0
OvenRack/out-left	OvenRack_out-left	worker1	1	0	4	0	0.0	0.0	100754	1300004	db3e87ba8127b919	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n4/base	22	18	7	3	0
OvenRack/out-left	OvenRack_out-left	worker1	1	0	5	0	0.0	0.0	100754	1300005	0fddbf5e3128f4ff	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n5/base	22	18	7	3	0
OvenRack/out-left	OvenRack_out-left	worker1	1	0	8	0	0.0	0.0	100754	1300008	508fdd36156d6730	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n8/base	22	18	7	3	0
OvenRack/out-left	OvenRack_out-left	worker1	1	1	1	0	0.0	0.05	100754	1300001	2fd602fd9ce1aace	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n1/base	19	21	4	6	0
OvenRack/out-left	OvenRack_out-left	worker1	1	1	5	0	0.0	0.05	100754	1300005	8fd3a1bacc851e39	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n5/base	19	21	4	6	0
OvenRack/out-left	OvenRack_out-left	worker1	1	1	6	0	0.0	0.05	100754	1300006	808e4cd1da11663d	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n6/base	19	21	4	6	0
OvenRack/out-left	OvenRack_out-left	worker1	1	1	9	0	0.0	0.05	100754	1300009	15a4e3b5c501145a	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n9/base	19	21	4	6	0
OvenRack/out-left	OvenRack_out-left	worker1	1	2	0	0	0.0	0.1	100754	1300000	6b74ad40f015aa69	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n0/base	21	19	6	4	0
OvenRack/out-left	OvenRack_out-left	worker1	1	2	1	0	0.0	0.1	100754	1300001	364b47e4184905ac	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n1/base	21	19	6	4	0
OvenRack/out-left	OvenRack_out-left	worker1	1	2	4	0	0.0	0.1	100754	1300004	5f069b9cb503c79a	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n4/base	21	19	6	4	0
OvenRack/out-left	OvenRack_out-left	worker1	1	2	7	0	0.0	0.1	100754	1300007	92b274e8e4c1aef3	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n7/base	21	19	6	4	0
OvenRack/out-left	OvenRack_out-left	worker1	1	2	8	0	0.0	0.1	100754	1300008	f2a034a6a77e0905	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n8/base	21	19	6	4	0
OvenRack/out-left	OvenRack_out-left	worker1	1	2	9	0	0.0	0.1	100754	1300009	decbbd43bd1ab5c7	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n9/base	21	19	6	4	0
OvenRack/out-left	OvenRack_out-left	worker1	1	4	0	0	0.05	0.15	100754	1300000	ce29f41a8e2add58	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n0/base	23	17	8	2	0
OvenRack/out-left	OvenRack_out-left	worker1	1	4	1	0	0.05	0.15	100754	1300001	f76c1d1e88b0fbb9	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n1/base	23	17	8	2	0
OvenRack/out-left	OvenRack_out-left	worker1	1	4	2	0	0.05	0.15	100754	1300002	d3e5af4fe6bbb7c3	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n2/base	23	17	8	2	0
OvenRack/out-left	OvenRack_out-left	worker1	1	4	5	0	0.05	0.15	100754	1300005	0d962261676b405b	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n5/base	23	17	8	2	0
OvenRack/out-left	OvenRack_out-left	worker1	1	4	6	0	0.05	0.15	100754	1300006	dc96e7abbe446794	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n6/base	23	17	8	2	0
OvenRack/out-left	OvenRack_out-left	worker1	1	4	7	0	0.05	0.15	100754	1300007	bced30185b5c71e0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n7/base	23	17	8	2	0
OvenRack/out-left	OvenRack_out-left	worker1	1	4	8	0	0.05	0.15	100754	1300008	962f7fc7911de610	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n8/base	23	17	8	2	0
OvenRack/out-left	OvenRack_out-left	worker1	1	4	9	0	0.05	0.15	100754	1300009	de35e286218aead5	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n9/base	23	17	8	2	0
PPCC/bread	PPCC_bread	worker2	0	0	3	0	0.0	0.0	100466	1300003	9c4c827f3db5fe8e	77e745c37b0f/worker2/PPCC/bread/s0/j0/n3/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	0	4	0	0.0	0.0	100466	1300004	829f5938532e176e	77e745c37b0f/worker2/PPCC/bread/s0/j0/n4/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	0	5	0	0.0	0.0	100466	1300005	b44b9674afc01dcb	77e745c37b0f/worker2/PPCC/bread/s0/j0/n5/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	0	6	0	0.0	0.0	100466	1300006	899f53bb36b357bf	77e745c37b0f/worker2/PPCC/bread/s0/j0/n6/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	0	7	0	0.0	0.0	100466	1300007	fad7b9bd2a11b4da	77e745c37b0f/worker2/PPCC/bread/s0/j0/n7/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	0	9	0	0.0	0.0	100466	1300009	cdeacb79b2acc159	77e745c37b0f/worker2/PPCC/bread/s0/j0/n9/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	1	4	1	0.0	0.0	100466	1300004	06860cc5ed02fd9d	77e745c37b0f/worker2/PPCC/bread/s0/j1/n4/base	14	26	2	8	0
PPCC/bread	PPCC_bread	worker2	0	1	9	1	0.0	0.0	100466	1300009	f11d1eaa92089d3e	77e745c37b0f/worker2/PPCC/bread/s0/j1/n9/base	14	26	2	8	0
PPCC/bread	PPCC_bread	worker2	0	2	0	2	0.0	0.0	100466	1300000	cb5bebf425ad6bfd	77e745c37b0f/worker2/PPCC/bread/s0/j2/n0/base	16	24	4	6	0
PPCC/bread	PPCC_bread	worker2	0	2	5	2	0.0	0.0	100466	1300005	a128ff04736e8ee8	77e745c37b0f/worker2/PPCC/bread/s0/j2/n5/base	16	24	4	6	0
PPCC/bread	PPCC_bread	worker2	0	2	7	2	0.0	0.0	100466	1300007	e3b16673baa8e94a	77e745c37b0f/worker2/PPCC/bread/s0/j2/n7/base	16	24	4	6	0
PPCC/bread	PPCC_bread	worker2	0	2	8	2	0.0	0.0	100466	1300008	b8812a957ec4b62e	77e745c37b0f/worker2/PPCC/bread/s0/j2/n8/base	16	24	4	6	0
PPCC/bread	PPCC_bread	worker2	0	3	0	3	0.0	0.0	100466	1300000	6afcb35fbb9eb0d7	77e745c37b0f/worker2/PPCC/bread/s0/j3/n0/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	1	3	0.0	0.0	100466	1300001	a3af57fd35392b38	77e745c37b0f/worker2/PPCC/bread/s0/j3/n1/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	2	3	0.0	0.0	100466	1300002	9d054633da5e617d	77e745c37b0f/worker2/PPCC/bread/s0/j3/n2/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	3	3	0.0	0.0	100466	1300003	4a3eccfddf4ea147	77e745c37b0f/worker2/PPCC/bread/s0/j3/n3/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	4	3	0.0	0.0	100466	1300004	a75ed936068edbb7	77e745c37b0f/worker2/PPCC/bread/s0/j3/n4/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	5	3	0.0	0.0	100466	1300005	b8b9deb0a34d3bb4	77e745c37b0f/worker2/PPCC/bread/s0/j3/n5/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	6	3	0.0	0.0	100466	1300006	587a8d8ac6767a71	77e745c37b0f/worker2/PPCC/bread/s0/j3/n6/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	7	3	0.0	0.0	100466	1300007	6ebcd73985e0ed1a	77e745c37b0f/worker2/PPCC/bread/s0/j3/n7/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	8	3	0.0	0.0	100466	1300008	4400c59b045bd8fb	77e745c37b0f/worker2/PPCC/bread/s0/j3/n8/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	3	9	3	0.0	0.0	100466	1300009	d1406ca8e8195b4c	77e745c37b0f/worker2/PPCC/bread/s0/j3/n9/base	22	18	10	0	0
PPCC/bread	PPCC_bread	worker2	0	4	4	4	0.0	0.0	100466	1300004	13415a481aa81856	77e745c37b0f/worker2/PPCC/bread/s0/j4/n4/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	4	5	4	0.0	0.0	100466	1300005	1b4179eb51efec7b	77e745c37b0f/worker2/PPCC/bread/s0/j4/n5/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	4	6	4	0.0	0.0	100466	1300006	9747e3cae8c82c54	77e745c37b0f/worker2/PPCC/bread/s0/j4/n6/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	4	7	4	0.0	0.0	100466	1300007	14aa2d9b2a368357	77e745c37b0f/worker2/PPCC/bread/s0/j4/n7/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	4	8	4	0.0	0.0	100466	1300008	ec5c220b6d4f396c	77e745c37b0f/worker2/PPCC/bread/s0/j4/n8/base	18	22	6	4	0
PPCC/bread	PPCC_bread	worker2	0	4	9	4	0.0	0.0	100466	1300009	0c17f2eb6618f21b	77e745c37b0f/worker2/PPCC/bread/s0/j4/n9/base	18	22	6	4	0
PPCC/candle	PPCC_candle	worker2	0	0	0	0	0.0	0.0	100477	1300000	8a2f5d9aa5bf33fc	77e745c37b0f/worker2/PPCC/candle/s0/j0/n0/base	25	15	2	8	0
PPCC/candle	PPCC_candle	worker2	0	0	1	0	0.0	0.0	100477	1300001	25151d2339da44f1	77e745c37b0f/worker2/PPCC/candle/s0/j0/n1/base	25	15	2	8	0
PPCC/candle	PPCC_candle	worker2	0	1	0	1	0.0	0.0	100477	1300000	f42b6dba76b22002	77e745c37b0f/worker2/PPCC/candle/s0/j1/n0/base	27	13	4	6	0
PPCC/candle	PPCC_candle	worker2	0	1	3	1	0.0	0.0	100477	1300003	b3e7ace3e620ef8e	77e745c37b0f/worker2/PPCC/candle/s0/j1/n3/base	27	13	4	6	0
PPCC/candle	PPCC_candle	worker2	0	1	5	1	0.0	0.0	100477	1300005	88f5ee23ed6cfb4d	77e745c37b0f/worker2/PPCC/candle/s0/j1/n5/base	27	13	4	6	0
PPCC/candle	PPCC_candle	worker2	0	1	8	1	0.0	0.0	100477	1300008	dd31afd3385d5c2e	77e745c37b0f/worker2/PPCC/candle/s0/j1/n8/base	27	13	4	6	0
PPCC/candle	PPCC_candle	worker2	0	2	5	2	0.0	0.0	100477	1300005	a0a49f0e3203192d	77e745c37b0f/worker2/PPCC/candle/s0/j2/n5/base	25	15	2	8	0
PPCC/candle	PPCC_candle	worker2	0	2	8	2	0.0	0.0	100477	1300008	14ce5159d9f989e8	77e745c37b0f/worker2/PPCC/candle/s0/j2/n8/base	25	15	2	8	0
