grid_instruction	slug	machine	scene_idx	jitter_idx	n_total	tgt_succ	tgt_fail	pool_succ	pool_fail	n_pool	selected	reason
OpenDrawer/left	OpenDrawer_left	kanu	1	2	10	0	10	14	26	50	1	
OpenDrawer/left	OpenDrawer_left	kanu	1	3	10	4	6	10	30	46	1	
OpenDrawer/left	OpenDrawer_left	kanu	1	4	10	0	10	14	26	50	1	
OpenDrawer/left	OpenDrawer_left	kanu	2	0	10	10	0	23	17	40	0	tgt_fail<1
OpenDrawer/left	OpenDrawer_left	kanu	2	1	10	3	7	30	10	47	1	
OpenDrawer/left	OpenDrawer_left	kanu	2	2	10	6	4	27	13	44	1	
OpenDrawer/left	OpenDrawer_left	kanu	2	3	10	6	4	27	13	44	1	
OpenDrawer/left	OpenDrawer_left	kanu	2	4	10	8	2	25	15	42	1	
OpenDrawer/right	OpenDrawer_right	kanu	0	0	10	10	0	37	3	40	0	tgt_fail<1
OpenDrawer/right	OpenDrawer_right	kanu	0	1	10	10	0	37	3	40	0	tgt_fail<1
OpenDrawer/right	OpenDrawer_right	kanu	0	2	10	10	0	37	3	40	0	tgt_fail<1
OpenDrawer/right	OpenDrawer_right	kanu	0	3	10	8	2	39	1	42	0	pool_fail<3
OpenDrawer/right	OpenDrawer_right	kanu	0	4	10	9	1	38	2	41	0	pool_fail<3
OpenDrawer/right	OpenDrawer_right	kanu	1	0	10	7	3	2	38	43	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	1	10	0	10	9	31	50	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	2	10	0	10	9	31	50	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	3	10	0	10	9	31	50	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	4	10	2	8	7	33	48	1	
OpenDrawer/right	OpenDrawer_right	kanu	2	0	10	6	4	40	0	44	0	pool_fail<3
OpenDrawer/right	OpenDrawer_right	kanu	2	1	10	10	0	36	4	40	0	tgt_fail<1
OpenDrawer/right	OpenDrawer_right	kanu	2	2	10	10	0	36	4	40	0	tgt_fail<1
OpenDrawer/right	OpenDrawer_right	kanu	2	3	10	10	0	36	4	40	0	tgt_fail<1
OpenDrawer/right	OpenDrawer_right	kanu	2	4	10	10	0	36	4	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	0	0	10	6	4	38	2	44	0	pool_fail<3
OvenRack/out-left	OvenRack_out-left	worker1	0	1	10	10	0	34	6	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	0	2	10	10	0	34	6	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	0	3	10	9	1	35	5	41	1	
OvenRack/out-left	OvenRack_out-left	worker1	0	4	10	9	1	35	5	41	1	
OvenRack/out-left	OvenRack_out-left	worker1	1	0	10	3	7	22	18	47	1	
OvenRack/out-left	OvenRack_out-left	worker1	1	1	10	6	4	19	21	44	1	
OvenRack/out-left	OvenRack_out-left	worker1	1	2	10	4	6	21	19	46	1	
OvenRack/out-left	OvenRack_out-left	worker1	1	3	10	10	0	15	25	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	1	4	10	2	8	23	17	48	1	
OvenRack/out-left	OvenRack_out-left	worker1	2	0	10	10	0	37	3	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	2	1	10	7	3	40	0	43	0	pool_fail<3
OvenRack/out-left	OvenRack_out-left	worker1	2	2	10	10	0	37	3	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	2	3	10	10	0	37	3	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	2	4	10	10	0	37	3	40	0	tgt_fail<1
OvenRack/out-right	OvenRack_out-right	worker1	0	0	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	0	1	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	0	2	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	0	3	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	0	4	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	1	0	10	10	0	40	0	40	0	pool_fail<3
OvenRack/out-right	OvenRack_out-right	worker1	1	1	10	10	0	40	0	40	0	pool_fail<3
OvenRack/out-right	OvenRack_out-right	worker1	1	2	10	10	0	40	0	40	0	pool_fail<3
OvenRack/out-right	OvenRack_out-right	worker1	1	3	10	10	0	40	0	40	0	pool_fail<3
OvenRack/out-right	OvenRack_out-right	worker1	1	4	10	10	0	40	0	40	0	pool_fail<3
OvenRack/out-right	OvenRack_out-right	worker1	2	0	10	10	0	30	10	40	0	tgt_fail<1
OvenRack/out-right	OvenRack_out-right	worker1	2	1	10	10	0	30	10	40	0	tgt_fail<1
OvenRack/out-right	OvenRack_out-right	worker1	2	2	10	10	0	30	10	40	0	tgt_fail<1
OvenRack/out-right	OvenRack_out-right	worker1	2	3	10	10	0	30	10	40	0	tgt_fail<1
OvenRack/out-right	OvenRack_out-right	worker1	2	4	10	0	10	40	0	50	0	pool_fail<3
PPCC/apple	PPCC_apple	worker2	0	0	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	0	1	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	0	2	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	0	3	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	0	4	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	1	0	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	1	1	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	1	2	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	1	3	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	1	4	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	2	0	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	2	1	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	2	2	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	2	3	10	10	0	40	0	40	0	excluded
PPCC/apple	PPCC_apple	worker2	2	4	10	10	0	40	0	40	0	excluded
PPCC/bread	PPCC_bread	worker2	0	0	10	4	6	18	22	46	1	
PPCC/bread	PPCC_bread	worker2	0	1	10	8	2	14	26	42	1	
PPCC/bread	PPCC_bread	worker2	0	2	10	6	4	16	24	44	1	
PPCC/bread	PPCC_bread	worker2	0	3	10	0	10	22	18	50	1	
PPCC/bread	PPCC_bread	worker2	0	4	10	4	6	18	22	46	1	
PPCC/bread	PPCC_bread	worker2	1	0	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	1	1	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	1	2	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	1	3	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	1	4	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	2	0	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	2	1	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	2	2	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	2	3	10	10	0	40	0	40	0	pool_fail<3
PPCC/bread	PPCC_bread	worker2	2	4	10	10	0	40	0	40	0	pool_fail<3
PPCC/candle	PPCC_candle	worker2	0	0	10	8	2	25	15	42	1	
PPCC/candle	PPCC_candle	worker2	0	1	10	6	4	27	13	44	1	
PPCC/candle	PPCC_candle	worker2	0	2	10	8	2	25	15	42	1	
PPCC/candle	PPCC_candle	worker2	0	3	10	1	9	32	8	49	1	
PPCC/candle	PPCC_candle	worker2	0	4	10	10	0	23	17	40	0	tgt_fail<1
PPCC/candle	PPCC_candle	worker2	1	0	10	6	4	33	7	44	1	
PPCC/candle	PPCC_candle	worker2	1	1	10	9	1	30	10	41	1	
PPCC/candle	PPCC_candle	worker2	1	2	10	9	1	30	10	41	1	
PPCC/candle	PPCC_candle	worker2	1	3	10	9	1	30	10	41	1	
PPCC/candle	PPCC_candle	worker2	1	4	10	6	4	33	7	44	1	
PPCC/candle	PPCC_candle	worker2	2	0	10	6	4	30	10	44	1	
PPCC/candle	PPCC_candle	worker2	2	1	10	10	0	26	14	40	0	tgt_fail<1
PPCC/candle	PPCC_candle	worker2	2	2	10	7	3	29	11	43	1	
PPCC/candle	PPCC_candle	worker2	2	3	10	6	4	30	10	44	1	
PPCC/candle	PPCC_candle	worker2	2	4	10	7	3	29	11	43	1	
PPCC/jug	PPCC_jug	worker2	0	0	10	1	9	4	36	49	1	
PPCC/jug	PPCC_jug	worker2	0	1	10	0	10	5	35	50	1	
PPCC/jug	PPCC_jug	worker2	0	2	10	2	8	3	37	48	1	
PPCC/jug	PPCC_jug	worker2	0	3	10	1	9	4	36	49	1	
PPCC/jug	PPCC_jug	worker2	0	4	10	1	9	4	36	49	1	
PPCC/jug	PPCC_jug	worker2	1	0	10	1	9	14	26	49	1	
PPCC/jug	PPCC_jug	worker2	1	1	10	3	7	12	28	47	1	
PPCC/jug	PPCC_jug	worker2	1	2	10	0	10	15	25	50	1	
PPCC/jug	PPCC_jug	worker2	1	3	10	5	5	10	30	45	1	
PPCC/jug	PPCC_jug	worker2	1	4	10	6	4	9	31	44	1	
PPCC/jug	PPCC_jug	worker2	2	0	10	0	10	2	38	50	1	
PPCC/jug	PPCC_jug	worker2	2	1	10	0	10	2	38	50	1	
PPCC/jug	PPCC_jug	worker2	2	2	10	2	8	0	40	48	0	pool_succ<1
PPCC/jug	PPCC_jug	worker2	2	3	10	0	10	2	38	50	1	
PPCC/jug	PPCC_jug	worker2	2	4	10	0	10	2	38	50	1	
PPCC/marshmallow	PPCC_marshmallow	worker2	0	0	10	8	2	36	4	42	1	
PPCC/marshmallow	PPCC_marshmallow	worker2	0	1	10	10	0	34	6	40	0	tgt_fail<1
PPCC/marshmallow	PPCC_marshmallow	worker2	0	2	10	10	0	34	6	40	0	tgt_fail<1
PPCC/marshmallow	PPCC_marshmallow	worker2	0	3	10	7	3	37	3	43	1	
PPCC/marshmallow	PPCC_marshmallow	worker2	0	4	10	9	1	35	5	41	1	
PPCC/marshmallow	PPCC_marshmallow	worker2	1	0	10	0	10	0	40	50	0	pool_succ<1
PPCC/marshmallow	PPCC_marshmallow	worker2	1	1	10	0	10	0	40	50	0	pool_succ<1
PPCC/marshmallow	PPCC_marshmallow	worker2	1	2	10	0	10	0	40	50	0	pool_succ<1
PPCC/marshmallow	PPCC_marshmallow	worker2	1	3	10	0	10	0	40	50	0	pool_succ<1
PPCC/marshmallow	PPCC_marshmallow	worker2	1	4	10	0	10	0	40	50	0	pool_succ<1
PPCC/marshmallow	PPCC_marshmallow	worker2	2	0	10	10	0	40	0	40	0	pool_fail<3
PPCC/marshmallow	PPCC_marshmallow	worker2	2	1	10	10	0	40	0	40	0	pool_fail<3
PPCC/marshmallow	PPCC_marshmallow	worker2	2	2	10	10	0	40	0	40	0	pool_fail<3
PPCC/marshmallow	PPCC_marshmallow	worker2	2	3	10	10	0	40	0	40	0	pool_fail<3
PPCC/marshmallow	PPCC_marshmallow	worker2	2	4	10	10	0	40	0	40	0	pool_fail<3
