파일	스테이지	LOC	최종수정	역할	플래그	비고
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/selection_drop_seed.py	S7	205	07-28	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/selection_gate.py	S7	211	07-28	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/selection_placebo.py	S7	137	07-28	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/selection_power.py	S7	108	07-27	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
scripts/safe/groot_n15/robocasa/steer/induced/aggregate_p0.py	S7	97	07-23	perturb P0 집계·smoke 판정	perturb,keep축	
scripts/safe/groot_n15/robocasa/steer/induced/smoke/smoke_judge.py	S7	299	07-22	perturb P0 집계·smoke 판정	perturb,keep축	
scripts/safe/groot_n15/robocasa/steer/patchceil/analyze_meta.py	S7	72	07-22	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/steer/patchceil/check_anchors.py	S7	85	07-22	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/steer/patchceil/check_passA.py	S7	63	07-22	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/steer/patchceil/extract_donor_npz.py	S7	100	07-22	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/steer/patchceil/extract_ep_meta_remote.py	S7	80	07-22	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/steer/patchceil/judge_patchceil.py	S7	124	07-22	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/steer/patchceil/make_shuffle_npz.py	S7	34	07-22	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/steer/patchceil/replay_arm.py	S7	134	08-05	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/steer/patchceil/select_passB.py	S7	76	07-22	donor 이식 판정·검사 일습	patchceil,보조종결	
scripts/safe/groot_n15/robocasa/eval/rejudge_success.py	S7	187	07-10	저장 rollout 재채점 (fresh-process 규약의 원조)	재채점,★현행	
scripts/safe/groot_n15/robocasa/eval/lerobot_http_eval.py	S7	290	06-10	허브가 import 하는 obs 변환·성공판정 (지도 1 부품)	eval부품,★현행	
scripts/safe/groot_n15/robocasa/eval/internal_parity.py	S7	345	06-10	내부 parity 검사	진단,일회성?	
scripts/safe/groot_n15/robocasa/eval/native_official_zmq_eval.py	S7	174	06-10	N1.5 native ZMQ eval (COAST 시대)	n15native,종결?	
scripts/safe/groot_n15/robocasa/eval/native_zmq_eval.py	S7	220	06-10	〃 변형	n15native,종결?	
scripts/safe/groot_n15/robocasa/eval/run_target15_seedpairs.sh	S7	306	06-10	target15 seed쌍 러너	구라운드,종결	
scripts/safe/groot_n15/robocasa/eval/annotate_phase_video.py	S7	171	07-23	phase 배너 주석 영상 (수집 세션 사용 중?)	시각화,현행연계	
