rel	key	s	j	n	succ	no_failure	t_fail	frame	fps	frames_total	type	n_marks	marks	note	by	updated_at	sig
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n2/base	PPCC/marshmallow	4	2	2	1	0	2.15	43	20	160	collision_stuck	1	"[{""t"": 2.15, ""frame"": 43, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:03:13.146Z	dfd5fa6881008bb6
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n3/base	PPCC/marshmallow	4	2	3	1	0	2	40	20	158	collision_stuck	1	"[{""t"": 2, ""frame"": 40, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:03:23.076Z	bd38f57a05e030fc
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n4/base	PPCC/marshmallow	4	2	4	0	0	2.05	41	20	360		1	"[{""t"": 2.05, ""frame"": 41, ""type"": null, ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:03:40.934Z	5fade6e40fe1f175
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n5/base	PPCC/marshmallow	4	2	5	1	0	2.15	43	20	198	collision_stuck	1	"[{""t"": 2.15, ""frame"": 43, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:03:51.576Z	d95d6ffeaba0a524
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n6/base	PPCC/marshmallow	4	2	6	1	0	2.35	47	20	318	collision_stuck	1	"[{""t"": 2.35, ""frame"": 47, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:04:02.241Z	45a35fbc083d4870
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n7/base	PPCC/marshmallow	4	2	7	0	0	2.7	54	20	360	collision_stuck	1	"[{""t"": 2.7, ""frame"": 54, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:04:10.619Z	aac9636a57644848
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n8/base	PPCC/marshmallow	4	2	8	0	0	2.6	52	20	360		1	"[{""t"": 2.6, ""frame"": 52, ""type"": null, ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:04:16.919Z	332ba1e796274887
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n9/base	PPCC/marshmallow	4	2	9	0	0	2.35	47	20	360	collision_stuck	1	"[{""t"": 2.35, ""frame"": 47, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:04:28.110Z	fd0eb8033fdb7b39
kanu/CoffeeSetupMug/s0/j0/n1/base	CoffeeSetupMug	0	0	1	0	0	18.0	360	20	360	place_fail	1	"[{""t"": 18, ""frame"": 360, ""type"": ""place_fail"", ""note"": """"}]"	성공 판정 부분에 놓지 않으듯 함. 잘 놓긴 함		2026-09-08T03:25:21.248Z	dc73d1e6ab763068
kanu/CoffeeSetupMug/s0/j0/n2/base	CoffeeSetupMug	0	0	2	0	0	18.0	360	20	360	no_reach	1	"[{""t"": 18, ""frame"": 360, ""type"": ""no_reach"", ""note"": """"}]"	time out 그냥 느림		2026-09-08T03:25:47.746Z	b1e9d7351dbfbac3
kanu/CoffeeSetupMug/s0/j0/n3/base	CoffeeSetupMug	0	0	3	0	0	13.55	271	20	360		1	"[{""t"": 13.55, ""frame"": 271, ""type"": null, ""note"": ""커피머신에 부딪힘""}]"	한번 부딪히긴했는데 잘 지나감. 하지만 늦음		2026-09-08T03:32:05.090Z	f2ac11f01eb5fd88
kanu/CoffeeSetupMug/s0/j0/n4/base	CoffeeSetupMug	0	0	4	0	0	3.6	72	20	360	collision_stuck	1	"[{""t"": 3.6, ""frame"": 72, ""type"": ""collision_stuck"", ""note"": ""컵과 충돌""}]"	컵과 충돌, 그이후 이상하게 집음.		2026-09-08T03:31:51.291Z	9d56c1610a0d4ebb
kanu/CoffeeSetupMug/s0/j0/n5/base	CoffeeSetupMug	0	0	5	0	0	3.4	68	20	360	collision_stuck	1	"[{""t"": 3.4, ""frame"": 68, ""type"": ""collision_stuck"", ""note"": ""컵 잘못집어서 컵과 충돌""}]"	컵 잘못집어서 컵과 충돌		2026-09-08T03:31:39.185Z	33d30fcbd28e4889
kanu/CoffeeSetupMug/s0/j0/n6/base	CoffeeSetupMug	0	0	6	0	0	3.5	70	20	360	collision_stuck	1	"[{""t"": 3.5, ""frame"": 70, ""type"": ""collision_stuck"", ""note"": ""컵과 충돌""}]"	컵과 충돌 그 후 이상하게 집음		2026-09-08T03:33:45.696Z	120c7535574f176f
kanu/CoffeeSetupMug/s0/j0/n7/base	CoffeeSetupMug	0	0	7	0	0	13.35	267	20	360	collision_stuck	1	"[{""t"": 13.35, ""frame"": 267, ""type"": ""collision_stuck"", ""note"": ""머신과 컵 충돌""}]"			2026-09-08T03:34:39.779Z	ff2d299c4ccef948
kanu/CoffeeSetupMug/s0/j0/n8/base	CoffeeSetupMug	0	0	8	0	0	3.4	68	20	360		2	"[{""t"": 3.4, ""frame"": 68, ""type"": null, ""note"": ""컵 충돌""}, {""t"": 10.4, ""frame"": 208, ""type"": null, ""note"": ""컵 충돌""}]"			2026-09-08T03:36:29.993Z	640dfbbee41b4cde
kanu/CoffeeSetupMug/s0/j0/n9/base	CoffeeSetupMug	0	0	9	0	0	3.65	73	20	360		1	"[{""t"": 3.65, ""frame"": 73, ""type"": null, ""note"": ""컵 충돌""}]"			2026-09-08T03:38:06.631Z	b10512d53c2a893b
kanu/CoffeeSetupMug/s0/j1/n0/base	CoffeeSetupMug	0	1	0	0	0	8.5	170	20	360		1	"[{""t"": 8.5, ""frame"": 170, ""type"": null, ""note"": ""컵과 머신 충돌""}]"			2026-09-08T03:38:47.124Z	4ed803652b9bc1fe
kanu/CoffeeSetupMug/s0/j1/n1/base	CoffeeSetupMug	0	1	1	0	0	9.2	184	20	360	collision_stuck	2	"[{""t"": 9.2, ""frame"": 184, ""type"": ""collision_stuck"", ""note"": ""컵과 머신 충돌""}, {""t"": 9.55, ""frame"": 191, ""type"": ""place_fail"", ""note"": ""이상한데서 컵 놔버림""}]"			2026-09-08T05:14:37.411Z	eecec20509e36d2d
kanu/CoffeeSetupMug/s0/j1/n2/base	CoffeeSetupMug	0	1	2	0	0	11.45	229	20	360	place_fail	1	"[{""t"": 11.45, ""frame"": 229, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T03:40:06.977Z	b150480c85f50016
kanu/CoffeeSetupMug/s0/j1/n3/base	CoffeeSetupMug	0	1	3	0	0	11.6	232	20	360	place_fail	1	"[{""t"": 11.6, ""frame"": 232, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:14:08.941Z	fa8dabf49f368e88
kanu/CoffeeSetupMug/s0/j1/n4/base	CoffeeSetupMug	0	1	4	0	0	14.3	286	20	360	place_fail	1	"[{""t"": 14.3, ""frame"": 286, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:13:58.457Z	1859fbaea0c27e08
kanu/CoffeeSetupMug/s0/j1/n5/base	CoffeeSetupMug	0	1	5	0	0	12.85	257	20	360	collision_stuck	2	"[{""t"": 12.85, ""frame"": 257, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 13.05, ""frame"": 261, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T05:16:07.804Z	039e9709ff1ac243
kanu/CoffeeSetupMug/s0/j1/n6/base	CoffeeSetupMug	0	1	6	0	0	14.35	287	20	360	place_fail	2	"[{""t"": 14.35, ""frame"": 287, ""type"": ""place_fail"", ""note"": """"}, {""t"": 16.85, ""frame"": 337, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:17:03.140Z	bf5aed3ba1625644
kanu/CoffeeSetupMug/s0/j1/n7/base	CoffeeSetupMug	0	1	7	0	0	8.85	177	20	360	drop	1	"[{""t"": 8.85, ""frame"": 177, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T05:17:56.647Z	18e19d19a1feb08f
kanu/CoffeeSetupMug/s0/j1/n8/base	CoffeeSetupMug	0	1	8	0	0	11.45	229	20	360	drop	1	"[{""t"": 11.45, ""frame"": 229, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T05:18:41.438Z	cf40a6ba49df00d1
kanu/CoffeeSetupMug/s0/j1/n9/base	CoffeeSetupMug	0	1	9	0	0	8.6	172	20	360	collision_stuck	2	"[{""t"": 8.6, ""frame"": 172, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 11.3, ""frame"": 226, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T05:19:45.198Z	a2c24403f5e03f89
kanu/CoffeeSetupMug/s0/j2/n0/base	CoffeeSetupMug	0	2	0	0	0	7.9	158	20	360	grasp_miss	1	"[{""t"": 7.9, ""frame"": 158, ""type"": ""grasp_miss"", ""note"": ""난이도 높음""}]"			2026-09-08T05:20:52.488Z	8bba43f41c628322
kanu/CoffeeSetupMug/s0/j2/n1/base	CoffeeSetupMug	0	2	1	0	0	8.85	177	20	360	grasp_miss	1	"[{""t"": 8.85, ""frame"": 177, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:21:26.053Z	650f3d5d968851f3
kanu/CoffeeSetupMug/s0/j2/n2/base	CoffeeSetupMug	0	2	2	0	0	7.65	153	20	360	grasp_miss	1	"[{""t"": 7.65, ""frame"": 153, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:22:37.469Z	2fc711e157c3b8ff
kanu/CoffeeSetupMug/s0/j2/n3/base	CoffeeSetupMug	0	2	3	0	0	8.8	176	20	360	grasp_miss	1	"[{""t"": 8.8, ""frame"": 176, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:23:03.967Z	d0005997612b5fcf
kanu/CoffeeSetupMug/s0/j2/n4/base	CoffeeSetupMug	0	2	4	0	0	7.35	147	20	360	grasp_miss	1	"[{""t"": 7.35, ""frame"": 147, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:23:33.323Z	95ea595b1df1b0ab
kanu/CoffeeSetupMug/s0/j2/n5/base	CoffeeSetupMug	0	2	5	0	0	8.45	169	20	360	grasp_miss	1	"[{""t"": 8.45, ""frame"": 169, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:24:19.374Z	251ba3c99a4e6af8
kanu/CoffeeSetupMug/s0/j2/n6/base	CoffeeSetupMug	0	2	6	0	0	8.4	168	20	360	grasp_miss	1	"[{""t"": 8.4, ""frame"": 168, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:24:53.267Z	6bb75ecdd3eac91c
kanu/CoffeeSetupMug/s0/j2/n7/base	CoffeeSetupMug	0	2	7	0	0	8.25	165	20	360	grasp_miss	1	"[{""t"": 8.25, ""frame"": 165, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:25:29.452Z	aca4e6ed0f882451
kanu/CoffeeSetupMug/s0/j2/n8/base	CoffeeSetupMug	0	2	8	0	0	8.1	162	20	360	grasp_miss	1	"[{""t"": 8.1, ""frame"": 162, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:25:45.816Z	09fb3efd4755039a
kanu/CoffeeSetupMug/s0/j2/n9/base	CoffeeSetupMug	0	2	9	0	0	7.9	158	20	360	grasp_miss	1	"[{""t"": 7.9, ""frame"": 158, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:26:02.678Z	63b2cbd158804f19
kanu/CoffeeSetupMug/s0/j3/n0/base	CoffeeSetupMug	0	3	0	0	0	9.7	194	20	360	collision_stuck	2	"[{""t"": 9.7, ""frame"": 194, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 11.9, ""frame"": 238, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:26:59.042Z	3bb7233639a0e010
kanu/CoffeeSetupMug/s0/j3/n1/base	CoffeeSetupMug	0	3	1	0	0	14.7	294	20	360	place_fail	1	"[{""t"": 14.7, ""frame"": 294, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:28:02.232Z	b2f08c1427354e48
kanu/CoffeeSetupMug/s0/j3/n2/base	CoffeeSetupMug	0	3	2	0	0	13.4	268	20	360	place_fail	1	"[{""t"": 13.4, ""frame"": 268, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:29:24.398Z	4a5f157a1f95bd04
kanu/CoffeeSetupMug/s0/j3/n3/base	CoffeeSetupMug	0	3	3	0	0	7.0	140	20	360	drop	1	"[{""t"": 7, ""frame"": 140, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T05:29:59.285Z	e2e041343a0b2f22
kanu/CoffeeSetupMug/s0/j3/n4/base	CoffeeSetupMug	0	3	4	0	0	6.5	130	20	360	grasp_miss	1	"[{""t"": 6.5, ""frame"": 130, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:30:46.924Z	fbbc8cd69b9deb9c
kanu/CoffeeSetupMug/s0/j3/n5/base	CoffeeSetupMug	0	3	5	0	0	3.3	66	20	360	collision_stuck	2	"[{""t"": 3.3, ""frame"": 66, ""type"": ""collision_stuck"", ""note"": ""컵에 그리퍼 부딪힘""}, {""t"": 8.6, ""frame"": 172, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:35:05.893Z	a2e3974976edd2a5
kanu/CoffeeSetupMug/s0/j3/n6/base	CoffeeSetupMug	0	3	6	0	0	13.0	260	20	360	place_fail	1	"[{""t"": 13, ""frame"": 260, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:35:28.459Z	4c53e613be33cefe
kanu/CoffeeSetupMug/s0/j3/n7/base	CoffeeSetupMug	0	3	7	0	0	12.3	246	20	360	collision_stuck	2	"[{""t"": 12.3, ""frame"": 246, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 12.75, ""frame"": 255, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:36:22.809Z	d1702b69284fd5e6
kanu/CoffeeSetupMug/s0/j3/n8/base	CoffeeSetupMug	0	3	8	0	0	12.75	255	20	360	place_fail	1	"[{""t"": 12.75, ""frame"": 255, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T05:37:28.836Z	14ba6d4316744d6d
kanu/CoffeeSetupMug/s0/j3/n9/base	CoffeeSetupMug	0	3	9	0	0	3.35	67	20	360	grasp_miss	2	"[{""t"": 3.35, ""frame"": 67, ""type"": ""grasp_miss"", ""note"": ""컵 과 그리퍼 충돌""}, {""t"": 8.05, ""frame"": 161, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T05:40:35.830Z	39ec60f0f2cf7c91
kanu/CoffeeSetupMug/s0/j4/n0/base	CoffeeSetupMug	0	4	0	0	0	3.2	64	20	360	grasp_miss	1	"[{""t"": 3.2, ""frame"": 64, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T06:08:22.812Z	1ad9fa2c85f5eb3f
kanu/CoffeeSetupMug/s0/j4/n1/base	CoffeeSetupMug	0	4	1	0	0	4.85	97	20	360	grasp_miss	2	"[{""t"": 4.85, ""frame"": 97, ""type"": ""grasp_miss"", ""note"": """"}, {""t"": 13.45, ""frame"": 269, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T06:09:43.538Z	a9d98f9d23786074
kanu/CoffeeSetupMug/s0/j4/n2/base	CoffeeSetupMug	0	4	2	0	1			20	360		0	[]			2026-09-08T06:11:33.643Z	ae903bc00820131f
kanu/CoffeeSetupMug/s0/j4/n3/base	CoffeeSetupMug	0	4	3	0	0	8.3	166	20	360	collision_stuck	1	"[{""t"": 8.3, ""frame"": 166, ""type"": ""collision_stuck"", ""note"": """"}]"			2026-09-08T06:12:15.445Z	2ecf772b69e52d50
kanu/CoffeeSetupMug/s0/j4/n4/base	CoffeeSetupMug	0	4	4	0	0	8.65	173	20	360	collision_stuck	1	"[{""t"": 8.65, ""frame"": 173, ""type"": ""collision_stuck"", ""note"": """"}]"			2026-09-08T06:12:54.858Z	c620252a2f9fe053
kanu/CoffeeSetupMug/s0/j4/n5/base	CoffeeSetupMug	0	4	5	0	0	7.4	148	20	360	collision_stuck	1	"[{""t"": 7.4, ""frame"": 148, ""type"": ""collision_stuck"", ""note"": """"}]"			2026-09-08T06:13:11.832Z	6a4c74a6b6fe462b
kanu/CoffeeSetupMug/s0/j4/n6/base	CoffeeSetupMug	0	4	6	0	0	8.45	169	20	360	collision_stuck	1	"[{""t"": 8.45, ""frame"": 169, ""type"": ""collision_stuck"", ""note"": ""충돌은 했지만 지나감""}]"			2026-09-08T06:13:53.659Z	918c240dd4886627
kanu/CoffeeSetupMug/s0/j4/n7/base	CoffeeSetupMug	0	4	7	0	1			20	360		0	[]			2026-09-08T07:46:32.501Z	cb8942240eb11822
kanu/CoffeeSetupMug/s0/j4/n8/base	CoffeeSetupMug	0	4	8	0	0	8.7	174	20	360	place_fail	1	"[{""t"": 8.7, ""frame"": 174, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T07:46:58.626Z	ba9dd5f37ea616a9
kanu/CoffeeSetupMug/s0/j4/n9/base	CoffeeSetupMug	0	4	9	0	0	7.85	157	20	360	place_fail	1	"[{""t"": 7.85, ""frame"": 157, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T07:47:28.325Z	eada858b2b155bee
kanu/CoffeeSetupMug/s1/j0/n0/base	CoffeeSetupMug	1	0	0	0	0	6.2	124	20	360	drop	1	"[{""t"": 6.2, ""frame"": 124, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T08:02:25.523Z	a897578379634319
kanu/CoffeeSetupMug/s1/j0/n1/base	CoffeeSetupMug	1	0	1	0	0	6.0	120	20	360	drop	1	"[{""t"": 6, ""frame"": 120, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T08:02:39.349Z	dfc01d9d723fdfcc
kanu/CoffeeSetupMug/s1/j0/n2/base	CoffeeSetupMug	1	0	2	0	0	3.65	73	20	360	grasp_miss	1	"[{""t"": 3.65, ""frame"": 73, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T08:02:55.950Z	210c5b7c76fb6873
kanu/CoffeeSetupMug/s1/j0/n3/base	CoffeeSetupMug	1	0	3	0	0	6.3	126	20	360	place_fail	1	"[{""t"": 6.3, ""frame"": 126, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T08:06:54.130Z	c6b0959b5636c218
kanu/CoffeeSetupMug/s1/j0/n4/base	CoffeeSetupMug	1	0	4	0	0	5.65	113	20	360	place_fail	1	"[{""t"": 5.65, ""frame"": 113, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T08:07:16.143Z	1a97a8cb3822287e
kanu/CoffeeSetupMug/s1/j0/n5/base	CoffeeSetupMug	1	0	5	0	0	3.3	66	20	360	grasp_miss	1	"[{""t"": 3.3, ""frame"": 66, ""type"": ""grasp_miss"", ""note"": """"}]"			2026-09-08T08:09:30.857Z	37590e38eccc8b35
kanu/CoffeeSetupMug/s1/j0/n6/base	CoffeeSetupMug	1	0	6	0	0	6.2	124	20	360	collision_stuck	2	"[{""t"": 6.2, ""frame"": 124, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 7.5, ""frame"": 150, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T08:10:02.196Z	cea0c45adccdbe3c
kanu/CoffeeSetupMug/s1/j0/n7/base	CoffeeSetupMug	1	0	7	0	0	5.05	101	20	360	collision_stuck	2	"[{""t"": 5.05, ""frame"": 101, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 7.2, ""frame"": 144, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T08:11:05.321Z	59323c66502d4b06
kanu/CoffeeSetupMug/s1/j0/n8/base	CoffeeSetupMug	1	0	8	0	0	3.0	60	20	360	collision_stuck	3	"[{""t"": 3, ""frame"": 60, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 8.25, ""frame"": 165, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 11, ""frame"": 220, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T08:19:31.247Z	ce26dabe7c7243cc
kanu/CoffeeSetupMug/s1/j0/n9/base	CoffeeSetupMug	1	0	9	0	0	3.35	67	20	360	collision_stuck	3	"[{""t"": 3.35, ""frame"": 67, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 6.7, ""frame"": 134, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 9, ""frame"": 180, ""type"": ""place_fail"", ""note"": ""이거도 실패임? 판정 개빡빡하네""}]"			2026-09-08T08:20:18.028Z	599633b59cf16624
kanu/CoffeeSetupMug/s1/j1/n0/base	CoffeeSetupMug	1	1	0	0	0	6.15	123	20	360	place_fail	1	"[{""t"": 6.15, ""frame"": 123, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T08:35:04.820Z	9cf529c4ffb2f1be
kanu/CoffeeSetupMug/s1/j1/n1/base	CoffeeSetupMug	1	1	1	0	0	6.1	122	20	360	place_fail	1	"[{""t"": 6.1, ""frame"": 122, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T08:40:03.414Z	9bef827245e00112
kanu/CoffeeSetupMug/s1/j1/n2/base	CoffeeSetupMug	1	1	2	0	0	2.05	41	20	360	collision_stuck	1	"[{""t"": 2.05, ""frame"": 41, ""type"": ""collision_stuck"", ""note"": """"}]"			2026-09-08T08:40:41.715Z	0f8961a32bec006d
kanu/CoffeeSetupMug/s1/j1/n3/base	CoffeeSetupMug	1	1	3	0	0	8.8	176	20	360	collision_stuck	2	"[{""t"": 8.8, ""frame"": 176, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 9.5, ""frame"": 190, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T08:41:23.354Z	a718bed6cf761739
kanu/CoffeeSetupMug/s1/j1/n4/base	CoffeeSetupMug	1	1	4	0	0	7.5	150	20	360	collision_stuck	2	"[{""t"": 7.5, ""frame"": 150, ""type"": ""collision_stuck"", ""note"": """"}, {""t"": 9.25, ""frame"": 185, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T08:41:52.142Z	d0018e13a35da9cc
kanu/CoffeeSetupMug/s1/j1/n5/base	CoffeeSetupMug	1	1	5	0	0	9.05	181	20	360	place_fail	1	"[{""t"": 9.05, ""frame"": 181, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T08:59:44.960Z	12169f5973c9bb3b
kanu/CoffeeSetupMug/s1/j1/n6/base	CoffeeSetupMug	1	1	6	0	0	9.0	180	20	360	drop	1	"[{""t"": 9, ""frame"": 180, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T14:49:16.020Z	e7bd534d89a68a0a
kanu/CoffeeSetupMug/s1/j1/n7/base	CoffeeSetupMug	1	1	7	0	0	11.05	221	20	360	place_fail	1	"[{""t"": 11.05, ""frame"": 221, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T14:50:36.083Z	6c1c55771428f27c
kanu/CoffeeSetupMug/s1/j1/n8/base	CoffeeSetupMug	1	1	8	0	0	8.75	175	20	360	drop	1	"[{""t"": 8.75, ""frame"": 175, ""type"": ""drop"", ""note"": """"}]"			2026-09-08T14:51:31.529Z	8890f53baa369a56
kanu/CoffeeSetupMug/s1/j1/n9/base	CoffeeSetupMug	1	1	9	0	0	8.6	172	20	360	place_fail	1	"[{""t"": 8.6, ""frame"": 172, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T14:51:55.369Z	7f57859ebd96c914
kanu/CoffeeSetupMug/s1/j2/n0/base	CoffeeSetupMug	1	2	0	0	0	7.35	147	20	360	place_fail	1	"[{""t"": 7.35, ""frame"": 147, ""type"": ""place_fail"", ""note"": """"}]"			2026-09-08T14:52:29.584Z	2ef9ab21c108e235
